No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay ,,,Delay 2,Delay 1,,Jitter
1,0,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.00019,0,,0.00019,,,0.000081,0.00019,,-0.000109
2,0.00019,192.168.1.6,74.125.130.91,UDP,314,53017  >  443 Len=272,,,,,,,,,,0.000271,0.00019,,0.000081,,,0.000048,0.000081,,-3.3E-05
3,0.000271,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.000319,0.000271,,0.000048,,,0.000061,0.000048,,0.000013
4,0.000319,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.00038,0.000319,,0.000061,,,0.00006,0.000061,,-1E-06
5,0.00038,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.00044,0.00038,,0.00006,,,0.00006,0.00006,,0
6,0.00044,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.0005,0.00044,,0.00006,,,0.000089,0.00006,,0.000029
7,0.0005,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.000589,0.0005,,0.000089,,,0.000053,0.000089,,-0.000036
8,0.000589,192.168.1.6,74.125.130.91,UDP,1392,53017  >  443 Len=1350,,,,,,,,,,0.000642,0.000589,,0.000053,,,0.024323,0.000053,,0.02427
9,0.000642,192.168.1.6,74.125.130.91,UDP,202,53017  >  443 Len=160,,,,,,,,,,0.024965,0.000642,,0.024323,,,0.005731,0.024323,,-0.018592
10,0.024965,74.125.130.91,192.168.1.6,UDP,68,443  >  53017 Len=26,,,,,,,,,,0.030696,0.024965,,0.005731,,,0.002508,0.005731,,-0.003223
11,0.030696,74.125.130.91,192.168.1.6,UDP,68,443  >  53017 Len=26,,,,,,,,,,0.033204,0.030696,,0.002508,,,0,0.002508,,-0.002508
12,0.033204,74.125.130.91,192.168.1.6,UDP,520,443  >  53017 Len=478,,,,,,,,,,0.033204,0.033204,,0,,,0.005664,0,,0.005664
13,0.033204,74.125.130.91,192.168.1.6,UDP,228,443  >  53017 Len=186,,,,,,,,,,0.038868,0.033204,,0.005664,,,2.645,0.005664,,2.639336
14,0.038868,192.168.1.6,74.125.130.91,UDP,75,53017  >  443 Len=33,,,,,,,,,,2.683868,0.038868,,2.645,,,0.002619,2.645,,-2.642381
15,2.683868,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,90,Standard query 0xcc41 A github.com,,,,,,,,,,2.686487,2.683868,,0.002619,,,0.002949,0.002619,,0.00033
16,2.686487,192.168.1.6,185.199.108.154,TCP,66,52351  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,2.689436,2.686487,,0.002949,,,0.007306,0.002949,,0.004357
17,2.689436,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,106,Standard query response 0xcc41 A github.com A 52.74.223.119,,,,,,,,,,2.696742,2.689436,,0.007306,,,0.000427,0.007306,,-0.006879
